sku,sku_name,proveedor,owner,leadtime,fecha_arribo,cantidad_a_comprar,moq,precio_unitario,mes_arribo
DNG-GLAZI6-GRI,Juego De Comedor Mesa Con 6 Sillas Glazia,INTL8AEL,Celia Russo,125,2025-10-30,84,0,FALTA INFO,10
DNG-GLAZI6-MAR,Juego De Comedor Mesa Con 6 Sillas Glazia,INTL8AEL,Celia Russo,125,2025-10-30,63,0,FALTA INFO,10
DNG-LIZO4-GRI,Juego De Comedor Mesa Con 4 Sillas Lizo,INTL8AEL,Celia Russo,125,2025-10-30,42,0,70,10
DNG-LIZO4-GRO,Juego De Comedor Mesa Con 4 Sillas Lizo,INTL8AEL,Celia Russo,125,2025-10-30,63,0,70,10
DNG-LUMI4-BLA,Juego De Comedor Mesa Con 4 Sillas Lumia,INTL8AEL,Celia Russo,125,2025-10-30,99,0,40,10
DNG-LUMI4-NEG,Juego De Comedor Mesa Con 4 Sillas Lumia,INTL8AEL,Celia Russo,125,2025-10-30,99,0,40,10
DNG-MINE4-BEI,Juego De Comedor Mesa Con 4 Sillas Piedra Sintetica Mineral,INTL8AEL,Celia Russo,125,2025-10-30,132,0,66,10
DNG-MINE4-GRI,Juego De Comedor Mesa Con 4 Sillas Piedra Sintetica Mineral,INTL8AEL,Celia Russo,125,2025-10-30,132,0,66,10
DNG-TAPIZ4-AQU,Juego De Comedor Mesa Con 4 Sillas Tapizadas Tapia Caja 3,INTL8AEL,Celia Russo,125,2025-10-30,36,0,FALTA INFO,10
DNG-TAPIZ4-BEI,Juego De Comedor Mesa Con 4 Sillas Tapizadas Tapia Caja 3,INTL8AEL,Celia Russo,125,2025-10-30,0,0,FALTA INFO,10
DNG-TAPIZ4-GRI,Juego De Comedor Mesa Con 4 Sillas Tapizadas Tapia Caja 3,INTL8AEL,Celia Russo,125,2025-10-30,0,0,FALTA INFO,10
BUR-ARENA1-BLA,Comoda Buro Aparador De Metal Puerta PC Arena,INTLQMMC,Flor Coronel,90,2025-09-30,2,0,FALTA INFO,9
BUR-ARENA1-NEG,Comoda Buro Aparador De Metal Puerta PC Arena,INTLQMMC,Flor Coronel,90,2025-09-30,135,0,FALTA INFO,9
BUR-ARENA2-BLA,Comoda Buro Aparador De Metal Puertas PC Arena,INTLQMMC,Flor Coronel,90,2025-09-30,4,0,FALTA INFO,9
BUR-ARENA2-NEG,Comoda Buro Aparador De Metal Puertas PC Arena,INTLQMMC,Flor Coronel,90,2025-09-30,2,0,FALTA INFO,9
BUR-ARENA3-BLA,Comoda Buro Aparador De Metal Con Malla Arena,INTLQMMC,Flor Coronel,90,2025-09-30,2,0,FALTA INFO,9
BUR-ARENA3-NEG,Comoda Buro Aparador De Metal Con Malla Arena,INTLQMMC,Flor Coronel,90,2025-09-30,4,0,FALTA INFO,9
BUR-ARIA1-BLA,Buro De Metal Aria,INTLQMMC,Flor Coronel,90,2025-09-30,195,0,FALTA INFO,9
BUR-ARIA1-NEG,Buro De Metal Aria,INTLQMMC,Flor Coronel,90,2025-09-30,33,0,FALTA INFO,9
BUR-ARIA2-BLA,Comoda Buro De Metal Aria,INTLQMMC,Flor Coronel,90,2025-09-30,139,0,FALTA INFO,9
BUR-ARIA2-NEG,Comoda Buro De Metal Aria,INTLQMMC,Flor Coronel,90,2025-09-30,12,0,FALTA INFO,9
BUR-CLARA1-MAD,Comoda buro con 2 puertas chico clara,INTLH5Q5,Celia Russo,125,2025-10-30,83,0,16,10
BUR-CLARA2-MAD,Comoda buro con 2 puertas mediano clara,INTLH5Q5,Celia Russo,125,2025-10-30,83,0,24,10
BUR-CLARA3-MAD,Comoda buro con 3 puertas grande clara,INTLH5Q5,Celia Russo,125,2025-10-30,83,0,29,10
BUR-MAPLE1-MAD,Comoda buro con 2 puertas chico maple,INTLH5Q5,Celia Russo,125,2025-10-30,83,0,24,10
BUR-MAPLE2-MAD,Comoda buro con 2 puertas mediano maple,INTLH5Q5,Celia Russo,125,2025-10-30,83,0,34,10
BUR-MAPLE3-MAD,Comoda buro con 2 puertas grande maple,INTLH5Q5,Celia Russo,125,2025-10-30,83,0,58,10
CENEOX2,Caminadora Electrica Plegable Color Negro Kingsports,INTLO1JC,Vanina Paolillo,125,2025-10-30,416,0,86,10
CENEOX3,Caminadora Electrica Plegable Color Negro Kingsports,INTLO1JC,Vanina Paolillo,125,2025-10-30,180,0,98,10
CENEVO1,Caminadora Electrica Portatil 110V Color Gris Cardio Fitness,INTLZKCM,Vanina Paolillo,100,2025-09-30,226,0,59,9
CENEVO4,Caminadora Electrica Plegable KingSports,INTLZKCM,Vanina Paolillo,100,2025-09-30,278,0,65,9
CENEX3,Caminadora Electrica Nex 3 HP,INTLO1JC,Vanina Paolillo,125,2025-10-30,41,0,FALTA INFO,10
CENEX45,Caminadorra Electrica Nex 4.5 HP,INTLZKCM,Vanina Paolillo,100,2025-09-30,156,0,214,9
CENUVA5,Caminadora Electrica Monitor KingSports,INTLZKCM,Vanina Paolillo,100,2025-09-30,0,0,85,9
CHEST-L5H-BEI,Comoda Cajonera de 5 Cajones Mueble Organizador Tela Madera ,INTLI5B7,Celia Russo,125,2025-10-30,0,0,20,10
CHEST-L5H-GRI,Comoda Cajonera de 5 Cajones Mueble Organizador Tela Madera ,INTLI5B7,Celia Russo,125,2025-10-30,0,0,20,10
CHEST-L5V-GRI,Comoda Cajonera 5 Cajones Mueble Organizador de Tela Madera ,INTLI5B7,Celia Russo,125,2025-10-30,0,0,20,10
CHEST-M3-BEI,Comoda Cajonera de 3 Cajones Mueble Organizador Tela Madera ,INTLI5B7,Celia Russo,125,2025-10-30,0,0,12,10
CHEST-M3-GRI,0,INTLI5B7,Celia Russo,125,2025-10-30,0,0,12,10
CHEST-M4-BEI,0,INTLI5B7,Celia Russo,125,2025-10-30,0,0,14,10
CHEST-M4-GRI,Comoda Cajonera de 4 Cajones Mueble Organizador Tela Madera ,INTLI5B7,Celia Russo,125,2025-10-30,0,0,14,10
CONT-HERMET5,Juego de Contenedores Hermeticos Recipiente de Vidrio 5pzas,INTLC7SY,Celia Russo,90,2025-09-30,243,0,5,9
COOKDOM16-NEG,BATERIAS DE COCINA 16PZ,INTL6EJ4,Celia Russo,100,2025-09-30,0,0,14,9
COOKDOM16-ROJ,BATERIAS DE COCINA 16PZ,INTL6EJ4,Celia Russo,100,2025-09-30,0,0,14,9
COOKGRA10-MAR,#N/A,INTL6EJ4,Celia Russo,100,2025-09-30,319,0,FALTA INFO,9
COOKGRA10-NEG,#N/A,INTL6EJ4,Celia Russo,100,2025-09-30,319,0,11,9
COOKGRA10-ROJ,#N/A,INTL6EJ4,Celia Russo,100,2025-09-30,319,0,FALTA INFO,9
COOKSUP10-MUL,#N/A,INTL6EJ4,Celia Russo,100,2025-09-30,319,0,FALTA INFO,9
COOKSUP10-NEG,#N/A,INTL6EJ4,Celia Russo,100,2025-09-30,319,0,FALTA INFO,9
COOKSUP10-ROJ,#N/A,INTL6EJ4,Celia Russo,100,2025-09-30,319,0,FALTA INFO,9
COOKTRA10-NEG,#N/A,INTL6EJ4,Celia Russo,100,2025-09-30,164,0,11,9
COOKTRA10-ROJ,#N/A,INTL6EJ4,Celia Russo,100,2025-09-30,164,0,FALTA INFO,9
COOKTRI11-CAF,Bateria De Cocina 11Pzas Acero Inoxidable Tricapa Colorhome,INTLXLVO,Celia Russo,150,2025-11-30,0,0,22,11
COOKTRI11-MET,Bateria De Cocina 11Pzas Acero Inoxidable Tricapa Induccion,INTLXLVO,Celia Russo,150,2025-11-30,0,0,22,11
COOKTRI12-MET,Bateria De Cocina 12 Piezas Acero Inox Triple Capa Induccion,INTLXLVO,Celia Russo,150,2025-11-30,0,0,19,11
COOKTRI7-GRI,Bateria De Cocina 7 Pzas Acero Inoxidable Tricapa Colorhome,INTLXLVO,Celia Russo,150,2025-11-30,0,0,12,11
COOKTRI7-NEG,Bateria De Cocina 7 Pzas Acero Inox Tricapa Negro Colorhome,INTLXLVO,Celia Russo,150,2025-11-30,0,0,11,11
DESK-ARIA2-BLA,Escritorio De Metal Aria,INTLQMMC,Flor Coronel,90,2025-09-30,131,0,FALTA INFO,9
DESK-ARIA2-NEG,Escritorio De Metal Aria,INTLQMMC,Flor Coronel,90,2025-09-30,141,0,FALTA INFO,9
DESK-GMG-NEG,Mesa Escritorio Gamer Mueble Juvenil De Computadora Moderno,INTLBRBMOZ,Celia Russo,125,2025-10-30,0,0,22,10
DNG-GLAZI6-NEG,-,INTL8AEL,Celia Russo,125,2025-10-30,0,0,76,10
DNGLEX4-GRI,Juego De Comedor Mesa Con 4 Sillas Lexus 2 Cajas,INTL8AEL,Celia Russo,125,2025-10-30,145,0,FALTA INFO,10
DNGLEX4-MAR,Juego De Comedor Mesa Con 4 Sillas Lexus 2 Cajas,INTL8AEL,Celia Russo,125,2025-10-30,0,0,FALTA INFO,10
DNGLEX4-NEG,Juego De Comedor Mesa Con 4 Sillas Lexus 2 Cajas,INTL8AEL,Celia Russo,125,2025-10-30,0,0,FALTA INFO,10
DNGLUNA6-GRI,Juego De Comedor Luna Mesa Con 6 Sillas 3 Cajas,INTL8AEL,Celia Russo,125,2025-10-30,0,0,FALTA INFO,10
DNGLUNA6-NEG,Juego De Comedor Luna Mesa Con 6 Sillas 3 Cajas,INTL8AEL,Celia Russo,125,2025-10-30,0,0,FALTA INFO,10
DNG-ROBLE1-BEI,Comedor de 4 Sillas Mesa Madera Cocina Restaurante Cafeteria,INTLQRRN,Celia Russo,150,2025-11-30,217,0,32,11
DNG-ROBLE1-MAR,Comedor de 4 Sillas Mesa Madera Cocina Restaurante Cafeteria,INTLQRRN,Celia Russo,150,2025-11-30,0,0,32,11
DNG-ROBLE2-BEI,Sillas De Comedor y Mesa Metal Cocina Cafeteria Restaurante,INTLQRRN,Celia Russo,150,2025-11-30,69,0,37,11
DNG-ROBLE2-BEN,Sillas De Comedor y Mesa Metal Cocina Cafeteria Restaurante,INTLQRRN,Celia Russo,150,2025-11-30,69,0,37,11
DNG-SALVIA1-BEG,Sillas Juego De Comedor Con Mesa Cocina Cafeteria 4 Personas,INTLQRRN,Celia Russo,150,2025-11-30,141,0,54,11
DNG-SALVIA1-BEM,Sillas Juego De Comedor Con Mesa Cocina Cafeteria 4 Personas,INTLQRRN,Celia Russo,150,2025-11-30,0,0,54,11
DNG-SUNSET5-BEI,Juego De Comedor Mesa Con 5 Sillas Sunset,INTL8AEL,Celia Russo,125,2025-10-30,37,0,160,10
DNG-SUNSET5-VER,Juego De Comedor Mesa Con 5 Sillas Sunset,INTL8AEL,Celia Russo,125,2025-10-30,37,0,160,10
DNGVITA6-BEI,Juego De Comedor Vita Mesa Con 6 Sillas 3 Cajas,INTL8AEL,Celia Russo,125,2025-10-30,78,0,FALTA INFO,10
DNGVITA6-GRI,Juego De Comedor Vita Mesa Con 6 Sillas 3 Cajas,INTL8AEL,Celia Russo,125,2025-10-30,29,0,FALTA INFO,10
DRES-ARIA-BLA,Ropero Closet De Metal Aria,INTLQMMC,Flor Coronel,90,2025-09-30,68,0,FALTA INFO,9
DRES-ARIA-NEG,Ropero Closet De Metal Aria,INTLQMMC,Flor Coronel,90,2025-09-30,35,0,FALTA INFO,9
DRESMULTI2-BLA,Mueble Armario Closet Multiuso 2 Puertas + Estantes Mdp Casa,INTLBRGXE1,Celia Russo,100,2025-09-30,127,0,30,9
DRESMULTI2-CAF,Mueble Armario Closet Multiuso 2 Puertas + Estantes Mdp Casa,INTLBRGXE1,Celia Russo,100,2025-09-30,96,0,23,9
DRESMULTI2-CHO,Mueble Armario Closet Multiuso 2 Puertas + Estantes Mdp Casa,INTLBRGXE1,Celia Russo,100,2025-09-30,171,0,23,9
DRESMULTI2-NOG,Mueble Armario Closet Multiuso 2 Puertas + Estantes Mdp Casa,INTLBRGXE1,Celia Russo,100,2025-09-30,107,0,30,9
DRESMULTI3-CAF,Ropero Closet Armario Mueble Moderno 3 Puertas 2cajones Casa,INTLBRGXE1,Celia Russo,100,2025-09-30,121,0,44,9
DRESMULTI3-NOG,Ropero Closet Moderno 3 Puertas Blanco y Cafe Recamara Hogar,INTLBRGXE1,Celia Russo,100,2025-09-30,79,0,37,9
DRESMULTI4-BLA,Ropero Guardaropa Armario Moderno Con 4 Puertas Y 2 Cajones,INTLBRGXE1,Celia Russo,100,2025-09-30,141,0,56,9
DRESMULTI4-CAO,Ropero Guardaropa Armario Moderno Con 4 Puertas Y 2 Cajones,INTLBRGXE1,Celia Russo,100,2025-09-30,45,0,56,9
DRESMULTI6-BLA,Ropero 6 Puertas 2 Cajones Placard Viena Blanco Branco-Branco 22,INTLBRGXE1,Celia Russo,100,2025-09-30,165,0,74,9
DRESMULTI6-CAF,Ropero Closet Moderno 6 Puertas 2 Cajones Placard New Roma Color,INTLBRGXE1,Celia Russo,100,2025-09-30,77,0,70,9
ETRAIL-6B,Bicicleta Electrica Con Batería De 350W ETRAIL R29 Neon,INTLGM22,Vanina Paolillo,110,2025-10-30,0,0,216,10
ETRAIL-6G,Bicicleta Electrica Con Batería De 350W ETRAIL R29 Neon,INTLGM22,Vanina Paolillo,110,2025-10-30,0,0,216,10
ETRAIL-8G,Bicicleta Electrica Con Batería De 250W ETRAIL R27.5 Neon,INTLGM22,Vanina Paolillo,110,2025-10-30,0,0,216,10
ETRAIL-8L,Bicicleta Electrica Con Batería De 250W ETRAIL R27.5 Neon,INTLGM22,Vanina Paolillo,110,2025-10-30,0,0,216,10
ETRAIL-8O,Bicicleta Electrica Con Batería De 250W ETRAIL R27.5 Neon,INTLGM22,Vanina Paolillo,110,2025-10-30,0,0,216,10
ETRAIL-9B,Bicicleta Electrica Con Batería De 350W ETRAIL R27.5 Neon,INTLGM22,Vanina Paolillo,110,2025-10-30,0,0,229,10
EX-1B,"Bicicleta Eléctrica Con Canastilla Delantera, Bocina, Luz y Seña",INTLGM22,Vanina Paolillo,110,2025-10-30,364,0,158,10
EX-1BNW,"Bicicleta Eléctrica Con Canastilla Delantera, Bocina, Luz y Seña",INTLGM22,Vanina Paolillo,110,2025-10-30,426,0,158,10
EX-1GR,Bicicleta Eléctrica Con Canastilla Delantera Bocina Luz y Señale,INTLGM22,Vanina Paolillo,110,2025-10-30,244,0,FALTA INFO,10
FRG140,Refrigerador dos puertas 140 Litros,INTLZ708,Fer,110,2025-10-30,0,0,FALTA INFO,10
GAS-GEN2000,Generador A Gasolina Inverter 2000W Closed Frame,INTLZ708,Fer,110,2025-10-30,49,0,FALTA INFO,10
GAS-GEN3000,Generador A Gasolina Inverter 3000W Open Frame,INTLZ708,Fer,110,2025-10-30,82,0,FALTA INFO,10
GAS-GEN3500,Generador A Gasolina Inverter 3500W Closed Frame,INTLZ708,Fer,110,2025-10-30,41,0,FALTA INFO,10
GDSGREEN6-GRI,Juego De Jardin 6 Piezas Sillas Exterior Mesa Con Sombrilla,INTL8AEL,Celia Russo,125,2025-10-30,0,0,51,10
GDSGREEN6-GRO,Juego De Jardin 6 Piezas Sillas Exterior Mesa Con Sombrilla,INTL8AEL,Celia Russo,125,2025-10-30,36,0,51,10
H1PLVOLTI,Refrigerador 4 Pies/121 Litros Con Congelador 1 Puerta 115V,INTLRCC5,Fer,110,2025-10-30,84,0,66,10
H1PMVOLTB,Refrigerador 3 Pies/90 Litros Con Congelador 1 Puerta 115V,INTLRCC5,Fer,110,2025-10-30,0,0,57,10
H1PMVOLTI,Refrigerador 3 Pies/90 Litros Con Congelador 1 Puerta 115V,INTLRCC5,Fer,110,2025-10-30,84,0,58,10
H1PSVOLTB,Refrigerador 1.6 Pies/47 Litros Con Congelador 1 Puerta 115V,INTLRCC5,Fer,110,2025-10-30,0,0,39,10
H1PSVOLTI,Refrigerador 1.6 Pies/47 Litros Con Congelador 1 Puerta 115V,INTLRCC5,Fer,110,2025-10-30,0,0,40,10
H2PXLVOLTI,Refrigerador 3 Pies/85 Litros LED Con Freezer 2 Puertas 115V,INTLRCC5,Fer,110,2025-10-30,126,0,67,10
HIDRO-GAS2600,Hidrolavadora A Gasolina 6.5HP 2600 PSI,INTLZ708,Fer,110,2025-10-30,82,0,FALTA INFO,10
HIDRO-GAS3200,Hidrolavadora A Gasolina 7HP 3200 PSI,INTLZ708,Fer,110,2025-10-30,82,0,FALTA INFO,10
JAR-MASON4,Dispensador De Líquidos Jar Cristal Con Tapa Metal 4 Litros,INTLC7SY,Celia Russo,90,2025-09-30,558,0,2,9
JAR-MASON5-MET,Dispensador Bebidas 5 Litros Mason Jar Vitrolero Base Metal,INTLC7SY,Celia Russo,90,2025-09-30,703,0,4,9
JAR-MASON8-2,Juego De Dispensadores Bebidas 4 Litros Mason Jar Base Metal,INTLC7SY,Celia Russo,90,2025-09-30,710,0,6,9
JAR-MASON8-BAM,Dispensador Bebidas 8 Litros Mason Jar Vitrolero Agua Bambu,INTLC7SY,Celia Russo,90,2025-09-30,"1,077",0,6,9
JAR-MASON8-MET,Dispensador Bebidas 8 Litros Mason Jar Vitrolero Base Metal,INTLC7SY,Celia Russo,90,2025-09-30,"2,154",0,5,9
LIV-GARDEN4-MAR,Sala Rattan Para Exterior Jardin Mimbre Marron Cojines Beige,INTL8AEL,Celia Russo,125,2025-10-30,0,0,61,10
LIV-GARDEN4-NEG,Sala para Exteriores Jardin de Mimbre Negro Cojines Beige,INTL8AEL,Celia Russo,125,2025-10-30,0,0,68,10
LIVGREEN4-MAR,Sala Exterior Para Jardín Textil 4 Pzas,INTL8AEL,Celia Russo,125,2025-10-30,64,0,54,10
LIVGREEN4-NEG,Sala Exterior Para Jardín Textil 4 Pzas,INTL8AEL,Celia Russo,125,2025-10-30,0,0,54,10
LIV-SILVER4-GRI,Sala para exterior silver,INTL8AEL,Celia Russo,125,2025-10-30,183,0,FALTA INFO,10
LIV-SUMMER4-NEG,Sala para exterior con almohadones summer,INTL8AEL,Celia Russo,125,2025-10-30,0,0,FALTA INFO,10
LIV-SUNNY4-GRI,Sala para exterior sunny,INTL8AEL,Celia Russo,125,2025-10-30,49,0,FALTA INFO,10
LIV-SUNSET4-BEI,Sala para exterior con almohadones sunsent,INTL8AEL,Celia Russo,125,2025-10-30,4,0,FALTA INFO,10
LIV-SUNSET4-VER,Sala para exterior con almohadones sunsent,INTL8AEL,Celia Russo,125,2025-10-30,37,0,FALTA INFO,10
LIV-SUNSET5-BEI,Sala para exterior con almohadones sunsent,INTL8AEL,Celia Russo,125,2025-10-30,0,0,FALTA INFO,10
LIV-SUNSET5-VER,Sala para exterior con almohadones sunsent,INTL8AEL,Celia Russo,125,2025-10-30,18,0,FALTA INFO,10
LIV-SUNSH4-NEG,Sala para exterior sunshine,INTL8AEL,Celia Russo,125,2025-10-30,0,0,FALTA INFO,10
LIV-TERRA4-MAR,Sala para exterior terra,INTL8AEL,Celia Russo,125,2025-10-30,49,0,FALTA INFO,10
OPAL12-BLA,Juego de Vajilla Opal Redonda 12 Piezas CHOPAL12R ColorHome,INTLQSHQ,Celia Russo,150,2025-11-30,0,0,4,11
OPAL12SQ-BLA,Juego de Vajilla Opal Cuadrada 12 Piezas CHOPAL12S ColorHome,INTLQSHQ,Celia Russo,150,2025-11-30,0,0,4,11
OPAL16-BLA,Juego De Vajilla Opal 16 Pz Redonda,INTLQSHQ,Celia Russo,150,2025-11-30,901,0,5,11
OPAL16SQ-BLA,Juego De Vajilla Opal 16 Pz Cuadrada,INTLQSHQ,Celia Russo,150,2025-11-30,901,0,6,11
OPAL25-BLA,Juego De Vajilla Opal 25 Pz Redonda,INTLQSHQ,Celia Russo,150,2025-11-30,360,0,9,11
OPAL31-BLA,Juego De Vajilla Opal 31 Pz Redonda,INTLQSHQ,Celia Russo,150,2025-11-30,746,0,12,11
PRESSBE-1,Estacion Dominadas Banco Ejercicio Musculacion Fitness Gym,INTL1WAF,Vanina Paolillo,100,2025-09-30,0,0,58,9
PRESSBE-2,Banco Multiposiciones Para Hacer Ejercicio Pesas Hogar Gym,INTL1WAF,Vanina Paolillo,100,2025-09-30,481,0,38,9
PRESSBE-5,Banco Para Pesas Plegable Inclinado Entrenamiento Fitnness,INTL1WAF,Vanina Paolillo,100,2025-09-30,7,0,26,9
PRESSBE-4,Ejercitador Vertical Ejercicio Abdomen Cardio Interior Hogar,INTL1WAF,Vanina Paolillo,100,2025-09-30,385,0,26,9
PRESSBE-6,Ejercitador Aparato Banco Multifuncional Abdomen Brazos 6en1,INTL1WAF,Vanina Paolillo,100,2025-09-30,0,0,22,9
SH3-BLA,Mueble Zapatero Con 3 Cajones Mediano,INTLBRBMOZ,Celia Russo,125,2025-10-30,115,0,16,10
SH4-BLA,Mueble Zapatero Con 4 Cajones Mediano,INTLBRBMOZ,Celia Russo,125,2025-10-30,11,0,23,10
SHED-1-NEG,Cobertizo de metal aire libre techo 1 caida,INTLBRBMOZ,Flor Coronel,125,2025-10-30,37,0,FALTA INFO,10
SHED-2-NEG,Cobertizo de metal aire libre techo 2 caida,INTLBRBMOZ,Flor Coronel,125,2025-10-30,521,0,FALTA INFO,10
